producto,SUM(cantidad)
"Licencias software empresarial",64
"Servicio energia electrica industrial mensual",36
"Contrato energia para empresas",22
"MacBook Pro para empresas (lote corporativo)",17
"Procesadores para servidores empresariales",17
"Suministro mayorista de cereales para retail (pedido 500 kg)",40
"Distribucion mayorista de productos alimenticios para supermercados",38
"Franquicia y suministro de productos para tiendas",26
"Servicio alimentacion empresarial mensual",17
"Contrato suministro energia corporativa mensual",26
"Suministro electricidad corporativa",20
"Contrato energia para industria",18
"Desarrollo software empresarial",17
"Venta mayorista snacks para cadenas de tiendas",30
"Consultoria fiscal corporativa",16
"Suministro energia industrial",18
"Consultoria estrategica empresarial",18
"Distribucion yogures para supermercados (pedido mayorista)",25
"Publicidad digital corporativa",17
"Licencias Microsoft 365 corporativas",39
"Suministro bebidas para restaurantes y supermercados",28
"Distribucion cereal para retail (lote mayorista)",34
"Energia electrica corporativa",19
"Suministro salsas y condimentos para restaurantes",41
"Servicio vigilancia corporativa mensual",17
"Suministro cafe premium para hoteles y restaurantes",23
"Catering empresarial",17
"Gestion de instalaciones empresariales",17
"Energia renovable para empresas",18
"Servicio energia comercial",19
"Suministro energia corporativa",19
"Licencia base de datos empresarial",37
"Venta cafe en grano para empresas y hoteles",22
"Transformacion digital corporativa",17
"Venta mayorista galletas para supermercados",37
"Auditoria corporativa",17
"Equipos red corporativa",17
"Licencia de franquicia y suministro alimenticio",28
"Suministro pollo procesado para franquicias",25
"Implementacion soluciones IT empresariales",17
"Infraestructura cloud AWS mensual",17
"Distribucion cafe y panaderia para tiendas",26
"Franquicia restaurante y suministro de alimentos",26
"Consultoria estrategica",22
"Suministro snacks y alimentos empaquetados para retail",37
"Seguridad privada corporativa",17
"Suministro postres y alimentos para puntos franquiciados",27
"Licencia ERP empresarial",26
"Mantenimiento corporativo instalaciones",17
"Auditoria financiera corporativa",18
"Estrategia empresarial",21
"Google Workspace empresarial",17
"Limpieza corporativa instalaciones",16
"Suministro ingredientes para franquicias",28
"Alimentacion corporativa",29
"Facility management empresarial",19
"Control plagas industrial",16
"Venta cafe tostado para empresas",26
"Auditoria y consultoria empresarial",16
